Participant,experience,evidence_sequence
1011.0,CSI,"['yes', 'no', 'no', 'yes', 'yes', 'yes', 'no', 'no', 'no', 'no']"
1011.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes', 'no']"
1011.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1011.0,CSI,"['no', 'yes', 'no', 'no', 'no', 'no', 'no', 'no', 'yes', 'no']"
1011.0,CSI,"['no', 'yes', 'no', 'no', 'yes', 'no', 'no', 'no', 'no', 'no']"
1011.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1011.0,CSI,"['no', 'no', 'no', 'no', 'yes', 'no', 'no', 'no', 'yes', 'no']"
1011.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'yes', 'yes', 'no', 'yes']"
1011.0,CSI,"['yes', 'yes', 'yes', 'no', 'no', 'no', 'yes', 'yes', 'yes', 'no']"
1011.0,CSI,"['yes', 'yes', 'yes', 'no', 'yes', 'no', 'no', 'no', 'no', 'no']"
1012.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1012.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'yes', 'yes', 'no', 'no']"
1012.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1012.0,CSI,"['no', 'no', 'no', 'no', 'no', 'yes', 'yes', 'no', 'no', 'no']"
1012.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes', 'no']"
1012.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1012.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'yes', 'yes', 'no', 'yes']"
1012.0,CSI,"['yes', 'yes', 'yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1012.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'yes', 'yes', 'no', 'yes']"
1012.0,CSI,"['yes', 'no', 'no', 'no', 'yes', 'no', 'no', 'no', 'yes', 'no']"
1012.0,CSI,"['no', 'yes', 'no', 'yes', 'no', 'no', 'yes', 'yes', 'no', 'no']"
1012.0,CSI,"['yes', 'yes', 'yes', 'no', 'no', 'yes', 'yes', 'yes', 'yes', 'no']"
1012.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1012.0,CSI,"['no', 'no', 'no', 'yes', 'yes', 'yes', 'yes', 'no', 'yes', 'no']"
1012.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1012.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1012.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1012.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1012.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1012.0,CSI,"['no', 'no', 'no', 'yes', 'yes', 'yes', 'no', 'no', 'no', 'yes']"
1012.0,CSI,"['yes', 'no', 'no', 'no', 'yes', 'no', 'yes', 'no', 'no', 'yes']"
1012.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1012.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes']"
1012.0,CSI,"['yes', 'yes', 'yes', 'yes', 'no', 'no', 'yes', 'yes', 'no', 'no']"
1012.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1012.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1012.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes', 'yes']"
1012.0,CSI,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
1012.0,CSI,"['yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1012.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1012.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1012.0,CSI,"['yes', 'yes', 'yes', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
1012.0,CSI,"['yes', 'yes', 'yes', 'yes', 'no', 'yes', 'yes', 'yes', 'yes', 'yes']"
1012.0,CSI,"['yes', 'yes', 'yes', 'no', 'no', 'yes', 'yes', 'yes', 'yes', 'yes']"
1012.0,CSI,"['yes', 'yes', 'yes', 'yes', 'yes', 'no', 'no', 'yes', 'yes', 'yes']"
1012.0,CSI,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
1012.0,CSI,"['yes', 'yes', 'yes', 'yes', 'yes', 'no', 'yes', 'yes', 'yes', 'no']"
1012.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes', 'no']"
1012.0,CSI,"['no', 'no', 'no', 'yes', 'no', 'yes', 'yes', 'yes', 'yes', 'no']"
1012.0,CSI,"['yes', 'no', 'no', 'yes', 'no', 'no', 'yes', 'no', 'no', 'no']"
1012.0,CSI,"['no', 'no', 'no', 'yes', 'no', 'no', 'no', 'no', 'no', 'no']"
1012.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1012.0,CSI,"['no', 'no', 'yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1012.0,CSI,"['no', 'no', 'no', 'no', 'yes', 'no', 'no', 'no', 'no', 'no']"
1012.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'yes', 'yes', 'no', 'no']"
1012.0,CSI,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'no', 'no']"
1012.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1012.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'yes', 'no', 'no', 'yes']"
1012.0,CSI,"['no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'no', 'no', 'no']"
1012.0,CSI,"['yes', 'yes', 'no', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
1012.0,CSI,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'no']"
1012.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1012.0,CSI,"['no', 'no', 'no', 'no', 'yes', 'yes', 'yes', 'no', 'no', 'no']"
1012.0,CSI,"['no', 'yes', 'yes', 'no', 'no', 'no', 'no', 'no', 'yes', 'no']"
1012.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes']"
1013.0,CSI,"['no', 'no', 'no', 'yes', 'no', 'no', 'no', 'no', 'no', 'no']"
1013.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1013.0,CSI,"['no', 'no', 'no', 'no', 'yes', 'no', 'no', 'no', 'no', 'no']"
1013.0,CSI,"['yes', 'no', 'no', 'no', 'no', 'no', 'yes', 'yes', 'yes', 'yes']"
1013.0,CSI,"['yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1013.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1013.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes', 'no', 'yes']"
1013.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1013.0,CSI,"['no', 'no', 'yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1013.0,CSI,"['no', 'no', 'yes', 'no', 'no', 'yes', 'no', 'yes', 'no', 'yes']"
1013.0,CSI,"['yes', 'yes', 'no', 'no', 'yes', 'no', 'no', 'yes', 'yes', 'yes']"
1013.0,CSI,"['no', 'yes', 'no', 'no', 'yes', 'yes', 'no', 'no', 'no', 'no']"
1013.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1013.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1013.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes', 'yes', 'no']"
1013.0,CSI,"['no', 'yes', 'yes', 'yes', 'no', 'yes', 'no', 'no', 'yes', 'no']"
1013.0,CSI,"['yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1013.0,CSI,"['no', 'yes', 'yes', 'yes', 'no', 'no', 'yes', 'no', 'yes', 'yes']"
1013.0,CSI,"['yes', 'yes', 'no', 'yes', 'yes', 'no', 'no', 'yes', 'yes', 'no']"
1013.0,CSI,"['no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'no', 'no']"
1013.0,CSI,"['no', 'yes', 'yes', 'yes', 'no', 'no', 'no', 'no', 'no', 'no']"
1013.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1013.0,CSI,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
1013.0,CSI,"['yes', 'yes', 'yes', 'no', 'yes', 'yes', 'yes', 'yes', 'no', 'yes']"
1013.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'yes', 'no', 'yes', 'no']"
1013.0,CSI,"['yes', 'no', 'no', 'yes', 'no', 'no', 'no', 'yes', 'no', 'no']"
1013.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1013.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1013.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1013.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1013.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes']"
1013.0,CSI,"['yes', 'yes', 'yes', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
1013.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'yes', 'no', 'no', 'no']"
1013.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1013.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1013.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1013.0,CSI,"['no', 'no', 'no', 'no', 'yes', 'yes', 'no', 'no', 'no', 'no']"
1013.0,CSI,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
1013.0,CSI,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
1013.0,CSI,"['yes', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
1013.0,CSI,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'no', 'yes', 'yes']"
1013.0,CSI,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'no', 'yes']"
1013.0,CSI,"['no', 'no', 'yes', 'no', 'yes', 'yes', 'no', 'no', 'no', 'no']"
1013.0,CSI,"['no', 'no', 'no', 'no', 'yes', 'yes', 'no', 'yes', 'no', 'no']"
1013.0,CSI,"['no', 'no', 'yes', 'yes', 'no', 'no', 'yes', 'no', 'no', 'yes']"
1013.0,CSI,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'no', 'no']"
1013.0,CSI,"['yes', 'no', 'no', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'no']"
1013.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'yes', 'yes', 'yes', 'yes']"
1013.0,CSI,"['no', 'yes', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'no']"
1013.0,CSI,"['yes', 'yes', 'yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1013.0,CSI,"['yes', 'yes', 'yes', 'yes', 'no', 'yes', 'yes', 'yes', 'yes', 'yes']"
1013.0,CSI,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
1013.0,CSI,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'no']"
1013.0,CSI,"['yes', 'yes', 'no', 'no', 'no', 'yes', 'yes', 'yes', 'no', 'no']"
1013.0,CSI,"['no', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'no', 'no', 'no']"
1013.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1013.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1013.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes']"
1014.0,CSI,"['no', 'no', 'no', 'no', 'yes', 'yes', 'yes', 'no', 'no', 'yes']"
1014.0,CSI,"['no', 'yes', 'no', 'yes', 'yes', 'no', 'no', 'no', 'no', 'no']"
1014.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'yes', 'no', 'yes', 'no']"
1014.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes']"
1014.0,CSI,"['yes', 'yes', 'no', 'no', 'no', 'no', 'yes', 'yes', 'yes', 'no']"
1014.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1014.0,CSI,"['no', 'no', 'no', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
1014.0,CSI,"['no', 'no', 'no', 'yes', 'yes', 'no', 'no', 'no', 'no', 'yes']"
1014.0,CSI,"['yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes', 'no']"
1014.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1014.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1014.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1014.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1014.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1014.0,CSI,"['no', 'no', 'yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1014.0,CSI,"['no', 'no', 'no', 'no', 'yes', 'no', 'yes', 'yes', 'no', 'yes']"
1014.0,CSI,"['yes', 'yes', 'yes', 'yes', 'no', 'no', 'no', 'yes', 'no', 'yes']"
1014.0,CSI,"['yes', 'no', 'no', 'no', 'yes', 'yes', 'yes', 'no', 'no', 'no']"
1014.0,CSI,"['yes', 'yes', 'no', 'no', 'no', 'yes', 'yes', 'yes', 'no', 'no']"
1014.0,CSI,"['no', 'no', 'no', 'no', 'yes', 'no', 'no', 'no', 'no', 'no']"
1014.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1014.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes', 'no']"
1014.0,CSI,"['no', 'yes', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'no', 'no']"
1014.0,CSI,"['no', 'no', 'no', 'yes', 'no', 'yes', 'yes', 'yes', 'no', 'yes']"
1014.0,CSI,"['no', 'no', 'no', 'yes', 'yes', 'no', 'no', 'no', 'no', 'no']"
1014.0,CSI,"['no', 'yes', 'yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1014.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes']"
1014.0,CSI,"['yes', 'no', 'no', 'yes', 'no', 'no', 'no', 'no', 'no', 'no']"
1014.0,CSI,"['no', 'no', 'no', 'no', 'no', 'yes', 'yes', 'yes', 'yes', 'yes']"
1014.0,CSI,"['yes', 'no', 'no', 'yes', 'no', 'no', 'no', 'yes', 'yes', 'yes']"
1014.0,CSI,"['yes', 'yes', 'no', 'no', 'yes', 'yes', 'yes', 'no', 'yes', 'no']"
1014.0,CSI,"['yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1014.0,CSI,"['no', 'no', 'yes', 'yes', 'yes', 'yes', 'no', 'no', 'no', 'no']"
1014.0,CSI,"['yes', 'no', 'yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1014.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes', 'no', 'no']"
1014.0,CSI,"['no', 'yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes']"
1014.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'yes', 'yes', 'yes', 'no']"
1014.0,CSI,"['no', 'no', 'yes', 'yes', 'yes', 'no', 'yes', 'yes', 'no', 'no']"
1014.0,CSI,"['yes', 'no', 'no', 'no', 'yes', 'no', 'yes', 'yes', 'no', 'yes']"
1014.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1014.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes', 'no', 'no']"
1014.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1014.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'yes', 'no', 'no', 'no']"
1014.0,CSI,"['no', 'no', 'yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1014.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1014.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1014.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1014.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes', 'yes', 'yes']"
1014.0,CSI,"['yes', 'yes', 'yes', 'yes', 'yes', 'no', 'no', 'no', 'yes', 'no']"
1014.0,CSI,"['no', 'no', 'no', 'yes', 'no', 'yes', 'yes', 'no', 'yes', 'yes']"
1014.0,CSI,"['no', 'no', 'yes', 'no', 'no', 'no', 'yes', 'no', 'no', 'yes']"
1014.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1014.0,CSI,"['yes', 'no', 'yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1014.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1014.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1014.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1014.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1014.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1014.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1014.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1014.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1014.0,CSI,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
1014.0,CSI,"['yes', 'no', 'yes', 'yes', 'yes', 'no', 'yes', 'no', 'yes', 'yes']"
1014.0,CSI,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
1014.0,CSI,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'no', 'yes', 'yes']"
1014.0,CSI,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
1014.0,CSI,"['yes', 'yes', 'yes', 'yes', 'no', 'no', 'yes', 'yes', 'no', 'yes']"
1014.0,CSI,"['yes', 'no', 'yes', 'no', 'no', 'yes', 'yes', 'yes', 'yes', 'yes']"
1014.0,CSI,"['yes', 'no', 'no', 'yes', 'yes', 'no', 'yes', 'yes', 'yes', 'yes']"
1014.0,CSI,"['yes', 'no', 'no', 'no', 'no', 'yes', 'yes', 'no', 'no', 'no']"
1014.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1014.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes', 'yes', 'no']"
1014.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1014.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1014.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1014.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1014.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes']"
1014.0,CSI,"['yes', 'yes', 'yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1014.0,CSI,"['no', 'no', 'no', 'yes', 'no', 'no', 'no', 'no', 'no', 'no']"
1014.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1014.0,CSI,"['no', 'no', 'no', 'no', 'yes', 'no', 'no', 'no', 'no', 'no']"
1014.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1014.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1014.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1014.0,CSI,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'no', 'no', 'no', 'yes']"
1014.0,CSI,"['yes', 'yes', 'yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1014.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1014.0,CSI,"['no', 'no', 'no', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
1014.0,CSI,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'no']"
1014.0,CSI,"['no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
1014.0,CSI,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
1014.0,CSI,"['no', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'no', 'no', 'no']"
1014.0,CSI,"['yes', 'yes', 'no', 'yes', 'yes', 'yes', 'no', 'yes', 'no', 'no']"
1014.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1017.0,CSI,"['no', 'no', 'no', 'yes', 'no', 'no', 'no', 'no', 'no', 'no']"
1017.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes', 'no', 'no']"
1017.0,CSI,"['no', 'yes', 'yes', 'yes', 'no', 'no', 'no', 'no', 'no', 'no']"
1017.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1017.0,CSI,"['no', 'no', 'yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1017.0,CSI,"['yes', 'yes', 'no', 'no', 'yes', 'yes', 'no', 'no', 'no', 'no']"
1017.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1017.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1017.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1017.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes', 'yes']"
1017.0,CSI,"['yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1017.0,CSI,"['no', 'no', 'no', 'no', 'no', 'yes', 'no', 'no', 'yes', 'yes']"
1017.0,CSI,"['yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1017.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1017.0,CSI,"['no', 'no', 'no', 'yes', 'no', 'no', 'no', 'no', 'no', 'no']"
1017.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes', 'yes', 'no']"
1017.0,CSI,"['no', 'no', 'yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1017.0,CSI,"['no', 'yes', 'yes', 'no', 'no', 'no', 'yes', 'no', 'no', 'no']"
1017.0,CSI,"['yes', 'yes', 'yes', 'yes', 'yes', 'no', 'no', 'no', 'no', 'no']"
1017.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes', 'yes']"
1017.0,CSI,"['yes', 'yes', 'yes', 'yes', 'no', 'yes', 'no', 'no', 'no', 'no']"
1017.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1017.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes', 'yes']"
1017.0,CSI,"['yes', 'yes', 'yes', 'yes', 'yes', 'no', 'yes', 'yes', 'yes', 'no']"
1017.0,CSI,"['no', 'no', 'no', 'no', 'yes', 'no', 'no', 'yes', 'yes', 'yes']"
1017.0,CSI,"['yes', 'yes', 'yes', 'yes', 'yes', 'no', 'yes', 'yes', 'yes', 'yes']"
1017.0,CSI,"['yes', 'yes', 'no', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'no']"
1017.0,CSI,"['no', 'no', 'no', 'yes', 'yes', 'no', 'no', 'no', 'no', 'no']"
1017.0,CSI,"['yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1017.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1017.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1017.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes', 'yes']"
1017.0,CSI,"['yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1017.0,CSI,"['yes', 'no', 'yes', 'yes', 'no', 'no', 'yes', 'no', 'no', 'no']"
1017.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1017.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1017.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes', 'no', 'yes']"
1017.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1017.0,CSI,"['no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'no', 'no', 'no']"
1017.0,CSI,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1017.0,CSI,"['no', 'no', 'yes', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
1017.0,CSI,"['yes', 'yes', 'yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
